protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes
Ulva Assay,sample metadata,deployment_year,The year the ulva assay bait was deployed in the field,numeric,YYYY,,
Ulva Assay,sample metadata,deployment_month,The month the ulva assay bait was deployed in the field,numeric,MM,,
Ulva Assay,sample metadata,deployment_day,The day the panel ulva assay bait deployed in the field,numeric,DD,,
Ulva Assay,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,,
Ulva Assay,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,,,
Ulva Assay,sample metadata,transect,The transect at the location the sample came from: 1 or 2,numeric,,,
Ulva Assay,sample metadata,sample_deployment_time,The time the sample was deployed in the field in 24-hour format (local time),time,HH:MM,,
Ulva Assay,sample metadata,data_entry_person,Full name of data entry person,text,,,
Ulva Assay,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Ulva Assay,sample data,deployment_year,The year the ulva assay bait was deployed in the field,numeric,YYYY,,
Ulva Assay,sample data,deployment_month,The month the ulva assay bait was deployed in the field,numeric,MM,,
Ulva Assay,sample data,deployment_day,The day the panel ulva assay bait deployed in the field,numeric,DD,,
Ulva Assay,sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,,
Ulva Assay,sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,,,
Ulva Assay,sample data,transect,The transect at the location the sample came from: 1 or 2,numeric,,,
Ulva Assay,sample data,number_deployed,Numer of squidpops deployed,integer,XX,,
Ulva Assay,sample data,bait_type,Type of bait used,text,,,
Ulva Assay,sample data,bait_missing_1_hr,Number of bait missing after 1 hour,integer,XX,,
Ulva Assay,sample data,stakes_remaining_1_hr,Number of stakes remaining after 1 hour,integer,XX,,
Ulva Assay,sample data,bait_missing_24_hr,Number of bait missing after 24 hours,integer,XX,,
Ulva Assay,sample data,stakes_remaining_24_hr,Number of stakes remaining after 24 hours,integer,XX,,
Ulva Assay,sample data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
